issue_id	source_url	title	modes	platforms	coverage	evidence
#9	https://github.com/inqueuet/futacha/issues/9	設定の子画面から戻ると設定へ戻る	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/compat/CompatibilityCoreTest.kt;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt;iosApp/iosAppUITests/IosAppUITests.swift;PRIVATE_DEVICE_EVIDENCE
#10	https://github.com/inqueuet/futacha/issues/10	ドロワーから表示切替時に自動で閉じる	TOSHIAKI_COMPAT	BOTH	PARTIAL	app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt;PRIVATE_DEVICE_EVIDENCE
#11	https://github.com/inqueuet/futacha/issues/11	モード間で板とスレッドデータを共有する	BOTH	BOTH	AUTOMATED	shared/src/commonTest/kotlin/compat/CompatibilityDataSharingTest.kt;shared/src/commonTest/kotlin/compat/ExperienceProfileSessionTest.kt
#12	https://github.com/inqueuet/futacha/issues/12	キャッシュ取得時にもサムネイルを表示する	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/compat/CompatMediaSupportTest.kt;shared/src/commonTest/kotlin/media/FutabaMediaSupportTest.kt;PRIVATE_DEVICE_EVIDENCE
#13	https://github.com/inqueuet/futacha/issues/13	ツールバーアイコンをちらつかせない	TOSHIAKI_COMPAT	BOTH	DEVICE	PRIVATE_DEVICE_EVIDENCE
#14	https://github.com/inqueuet/futacha/issues/14	トースト幅をドロワー状態で変えない	TOSHIAKI_COMPAT	BOTH	DEVICE	PRIVATE_DEVICE_EVIDENCE
#15	https://github.com/inqueuet/futacha/issues/15	トースト表示時間を設定可能にする	TOSHIAKI_COMPAT	BOTH	PARTIAL	shared/src/commonTest/kotlin/compat/CompatThreadUpdatePresentationTest.kt;PRIVATE_DEVICE_EVIDENCE
#16	https://github.com/inqueuet/futacha/issues/16	設定に反するカタログ自動再読込をしない	TOSHIAKI_COMPAT	BOTH	AUTOMATED	shared/src/commonTest/kotlin/ui/compat/CompatCatalogFetchSettingsTest.kt;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt
#17	https://github.com/inqueuet/futacha/issues/17	カタログ取得件数設定を反映する	TOSHIAKI_COMPAT	BOTH	AUTOMATED	shared/src/commonTest/kotlin/ui/compat/CompatCatalogFetchSettingsTest.kt;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt
#18	https://github.com/inqueuet/futacha/issues/18	スワイプ感度とキャンセル判定を安定させる	TOSHIAKI_COMPAT	BOTH	PARTIAL	shared/src/commonTest/kotlin/compat/CompatibilityTabSelectorMotionTest.kt;shared/src/commonTest/kotlin/compat/CompatDrawerSwipeSupportTest.kt;PRIVATE_DEVICE_EVIDENCE
#19	https://github.com/inqueuet/futacha/issues/19	隣接タブのスワイプ中も完全な本文と位置を表示する	TOSHIAKI_COMPAT	BOTH	PARTIAL	shared/src/commonTest/kotlin/compat/CompatibilityCoreTest.kt;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt;PRIVATE_DEVICE_EVIDENCE
#20	https://github.com/inqueuet/futacha/issues/20	カタログへ戻った時の表示位置を復元する	BOTH	BOTH	PARTIAL	shared/src/commonTest/kotlin/compat/CompatCatalogScrollTest.kt;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt;PRIVATE_DEVICE_EVIDENCE
#21	https://github.com/inqueuet/futacha/issues/21	スレを閉じたトーストの文字を重ねない	TOSHIAKI_COMPAT	BOTH	DEVICE	PRIVATE_DEVICE_EVIDENCE
#22	https://github.com/inqueuet/futacha/issues/22	ツールバー編集を即時反映する	TOSHIAKI_COMPAT	BOTH	AUTOMATED	shared/src/commonTest/kotlin/compat/CompatibilityCoreTest.kt;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt;iosApp/iosAppUITests/IosAppUITests.swift
#23	https://github.com/inqueuet/futacha/issues/23	あぷ小サムネイル設定を厳密に反映する	TOSHIAKI_COMPAT	BOTH	PARTIAL	shared/src/commonTest/kotlin/ui/compat/CompatPtmtAndUpsTest.kt;shared/src/commonTest/kotlin/compat/CompatMediaSupportTest.kt;app-android/src/androidTest/java/com/valoser/futacha/CompatSettingsSchemaInstrumentedTest.kt;PRIVATE_DEVICE_EVIDENCE
